hour,rows,mae,rmse,avg_actual,avg_prediction
7,160,4.600455891958675,6.153922572329307,15.4375,16.102206427696196
8,208,3.801474358801577,4.857615584465181,27.701923076923077,28.79782109603083
9,256,5.6069115625277295,8.210994799366182,30.0625,30.340351821507603
10,336,4.305794493476616,6.077460830389829,36.32142857142857,37.24614564250527
11,255,6.041422626227152,8.502522453269025,39.29019607843137,39.09888282243959
12,256,5.488128980123782,8.377950479021525,38.0390625,39.272474794775256
13,223,5.793304128696271,8.240709890308775,39.91479820627803,39.71813212885685
14,320,4.944817000078595,6.764550544289005,39.91875,40.21237302212968
15,80,7.9425063209775555,10.394440807425658,41.525,41.618480752804075
16,243,6.116395879154935,8.319115634674567,43.74485596707819,43.603916195204455
17,256,6.884561735022627,9.33656712994752,47.92578125,48.890606660688526
18,176,8.803343454835085,11.72660694696447,80.53977272727273,79.84235538417181
19,159,11.158343093123865,14.482310219744658,89.18238993710692,88.05547860117566
20,240,9.230126318177849,12.96462157378585,75.41666666666667,76.06314464679397
21,160,13.881719753362594,20.02655943679666,23.95625,29.29805637067892
